Date,Time,Direction,Number,Type,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure
2022.05.24,17:16:02,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:02,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:04,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:09,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:23,Direction 13,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:31,Direction 10,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:41,Direction 8,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:42,Direction 1,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:47,Direction 1,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:55,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:58,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:16:58,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:17:01,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:17:05,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:17:07,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:17:09,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:17:10,Direction 6,1,Bus,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:17:21,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:17:25,Direction 13,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:17:27,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:17:36,Direction 13,6,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
